日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260507,國泰子帳戶,472,TWD,統一增長,472,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-06 22:24:11,S_AD13C06B-931F-4B7E-AFC1-BCCB9B800680
20260506,國泰子帳戶,377,TWD,元大台50,377,TWD,,買入(0050.TW:元大台灣50),2026-05-04 22:32:34,S_128C0BD9-52C3-4FD9-9364-385F5E793C81
20260505,國泰子帳戶,21808,TWD,台積電,21808,TWD,,買入(2330.TW:台積電),2026-04-30 11:24:28,S_E8906A71-8B30-4FB7-81B1-082914B30078
20260503,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2026-06-07 18:36:32,AAED99A1-BB8E-4A67-AC66-E64E4B765B91
20260430,Bankee,30000,TWD,國泰子帳戶,30000,TWD,,,2026-04-30 11:28:06,924AF162-1109-4165-B3C0-4B60C616406B
20260430,國泰子帳戶,371,TWD,元大台50,371,TWD,,買入(0050.TW:元大台灣50),2026-04-30 11:15:01,S_CB299B05-507D-455D-94F6-142A93D15BDC
20260430,中信,10000,TWD,國泰子帳戶,10000,TWD,,,2026-04-30 11:11:31,045E7913-A16C-428B-815F-D3D12399A72C
20260430,中信,21294,TWD,Bankee,21294,TWD,,,2026-04-30 11:11:14,D853ABD1-B037-46D9-8B01-BE42FE44BC78
20260429,郵局,5000,TWD,中信,5000,TWD,,支援C寶 已還,2026-05-05 20:41:16,A155052E-F4B5-4092-9D8C-DD5EC35E92C7
20260428,Bankee,2000,TWD,錢包,2000,TWD,,,2026-04-28 20:11:27,E5CAD1D0-6701-4851-A737-A36B6CBE5132
20260428,國泰子帳戶,374,TWD,元大台50,374,TWD,,買入(0050.TW:元大台灣50),2026-04-28 19:52:43,S_4DA753E2-ED30-4C36-AA76-291D5C89345E
20260427,國泰子帳戶,8547,TWD,CUBE COMBO,8547,TWD,,自動繳款[3月09日〜4月08日],2026-04-27 16:52:01,62096F21-688B-43AB-9E2F-16E334A64615
20260424,國泰子帳戶,356,TWD,元大台50,356,TWD,,買入(0050.TW:元大台灣50),2026-04-28 19:36:35,S_406A9779-0EB5-4A54-A5AC-47ED45C5E66C
20260423,國泰子帳戶,188,TWD,統一增長,188,TWD,,買入(00981A.TW:主動統一台股增長),2026-04-24 20:58:37,S_6177BEDA-4973-4B1B-B3CE-1C2E370596EF
20260423,郵局,5000,TWD,國泰子帳戶,5000,TWD,,,2026-04-23 16:06:17,139D3FAF-A2F2-42B7-AC47-8599C03A740C
20260422,國泰子帳戶,595,TWD,元大台50,595,TWD,,買入(0050.TW:元大台灣50),2026-04-21 00:33:33,S_66A8015F-C2FD-4BC2-8770-230F0C6AAF68
